A. Lange & S_hne (Richemont Group),Audemars Piguet,Ball,Baume & Mercier (Richemont Group),Bell & Ross,Benrus,Blancpain (Swatch Group),Breguet,Breitling,Bremont,Bulova,Bvlgari (LVMH),Cartier (Richemont Group),Casio,Certina (Swatch Group),Chopard,Christopher Ward,Chronoswiss,Citizen,Diesel,Doxa,Ebel (Movado),F.P. Journe,Fortis,Fossil,Fr_d_rique Constant,Girard,GlashÙtte Original (Swatch Group),Gucci,Guess,Hamilton (Swatch Group),Hermes,HMT,Hublot (LVMH),Invicta,IWC (Richemont Group),Jaeger,Junghans,Longines (Swatch Group),Luminox,Marathon,MB&F,Michael Kors,Mido (Swatch Group),Mondaine,Montblanc,Movado,Nixon,Nomos GlashÙtte,Omega (Swatch Group),Orient (Seiko),Oris,Panerai (Richemont Group),Patek Philippe,Piaget,Rado (Swatch Group),Raymond Weil,Richard Mille,Rolex,Rotary,Seiko,Sinn,Skagen,Stowa Stowa,Stuhrling,Suunto,Swatch,Swiss Legend (SWI),TAG Heuer (LVMH Group),Tianjin SeaGull,Timex,Tissot (Swatch Group),Tudor,Tutima,Ulysse Nardin,Vacheron Constantin (Richemont Group),Vostok,Zenith (LVMH)
1,29,59,490,4301,0,594,103,3,1225,153,64,91,9922,694,146,277,2,104,174,171,304,99,816,24,255,501,551,30,5630,884,1021,1254,373,1432,283,296,492,455,1,398,243,46,132,36,1036,1468,121,428,15,4180,2964,478,61,564,1962,482,370,710,172,2444,93,169,1953,238,4804,162,101,391,13,2526,22641,157,775,391,0,1977,1015
13,89,101,1,100,0,130,147,27,3282,335,63,22,44,2747,120,32,2,108,135,151,69,8,61,25,69,59,175,67,248,280,74,638,16,193,21,472,60,464,4,21,2,28,12,103,1545,3617,141,233,48,6402,349,53,3,45,414,1,289,58,261,59,206,304,34,519,911,416,103,229,1,288,40815,54,747,25,0,89,122
0,2,96,0,288,1,220,33,4,1815,257,22,8,29,1967,68,15,0,70,64,212,53,53,108,31,27,183,447,4,756,948,77,1079,37,357,14,90,32,85,0,18,4,0,40,5,676,19,129,141,6,85,597,55,0,213,311,8,19,151,151,207,71,29,78,115,129,96,13,88,0,842,69213,90,3030,45,0,206,107
38,1,115,0,131,0,79,81,35,2011,304,17,1,30,254,104,11,8,31,88,254,45,2,35,10,40,46,58,34,580,349,74,1162,5,195,12,212,24,88,9,1,0,1,14,50,749,2085,137,124,10,8336,161,3,0,55,208,5,128,83,146,262,69,154,46,296,209,276,50,89,0,482,78842,41,1941,16,1,168,58
13,197,206,1,308,1,109,125,105,2727,594,55,33,166,410,35,51,0,83,89,405,29,45,85,14,88,99,431,86,433,252,74,1340,49,264,23,394,90,40,18,23,5,0,38,97,1252,4463,138,102,34,9480,209,152,0,165,437,16,155,89,229,369,43,354,56,605,421,562,120,202,0,523,79062,44,1246,37,1,153,126
2,34,201,28,1018,0,260,233,16,1922,441,21,35,1812,694,408,158,5,122,78,267,219,71,329,40,77,314,406,3,3838,526,379,4194,128,743,69,236,118,314,2,19,43,38,40,26,880,2357,417,227,13,230,838,319,22,425,615,397,95,357,186,1573,143,121,405,274,259,186,44,140,0,1284,63018,95,1003,249,0,926,437
2,10,193,35,1291,0,338,52,10,2065,265,4,30,5828,1004,259,169,0,115,63,361,278,111,287,65,51,272,494,1,4865,1137,281,44447,77,988,70,196,111,342,0,20,23,16,255,8,611,722,413,310,7,83,973,147,12,704,478,91,103,330,121,2702,126,40,358,195,162,186,46,149,0,2034,48075,92,2581,218,0,1175,413
0,1,173,0,42,1,40,14,6,507,158,2,0,12,1891,26,2,0,6,33,373,2,10,12,21,0,40,73,2,58,109,7,126311,8,105,1,22,16,16,0,0,0,0,7,1,132,0,44,51,0,6,149,3,0,16,60,0,2,34,15,12,24,0,8,25,45,34,6,22,0,172,37736,17,603,7,0,32,17
141,0,121,0,38,1,33,65,30,955,195,7,0,6,533,11,3,0,12,56,321,4,9,20,14,24,24,31,40,92,109,7,1535,5,108,7,230,10,8,23,1,0,0,8,42,534,2060,77,24,11,6369,176,1,0,29,39,4,244,9,101,7,23,75,7,356,264,286,86,58,0,148,28020,13,837,3,0,21,10
758,666,533,12,179,2,138,252,121,3262,482,128,72,80,1193,315,79,4801,324,111,472,228,35,238,11,66,51,319,223,398,394,218,63879,50,267,31,763,113,843,49,67,19,477,25,315,1746,7351,193,327,49,8057,860,253,38,71,234,0,655,48,346,198,720,474,69,1552,834,826,203,249,0,412,32076,19,1948,62,0,185,240
0,0,1651,0,52,0,71,15,1,531,87,9,2,17,1240,17,1,0,8,24,320,3,19,19,28,0,34,38,0,34,37,6,105185,12,111,0,30,37,14,0,0,0,1,6,2,70,1,47,55,0,3,213,6,0,8,46,2,4,29,9,14,61,0,10,23,31,29,1,18,0,302,21716,12,1174,5,0,27,15
0,1,10122,0,43,0,36,58,11,1305,105,9,1,17,221,115,3,0,31,25,254,15,12,35,49,7,4,31,6,105,186,14,1191,4,143,1,90,52,83,0,2,2,0,4,3,359,254,84,155,2,47,132,2,0,58,42,3,4,33,89,73,28,5,25,155,69,110,12,68,0,162,17933,5,2450,14,0,60,39
0,28,1749,0,166,0,149,67,6,1049,69,9,2,69,985,201,20,0,31,28,332,24,42,64,52,3,125,287,2,227,212,26,971,49,260,12,96,96,23,2,1,3,2,34,12,436,549,75,74,7,105,429,51,0,87,80,2,9,64,102,119,98,22,32,239,87,160,16,56,0,561,17391,27,3097,24,0,102,98
573,0,657,28,1006,0,169,70,8,790,86,7,35,129,537,133,114,0,34,59,325,107,14,347,6293,10,71,197,1,805,134,151,1181,219,241,56,156,180,112,0,4,52,86,34,22,184,1190,142,95,5,93,5703,15,56,202,65,0,171,221,41,297,94,31,176,191,127,120,45,41,3,624,11668,27,790,200,0,415,223
776,346,618,138,2937,0,778,251,23,1439,137,53,215,977,1588,518,538,6,272,87,357,490,129,1098,18,29,670,1142,22,8560,1072,887,3432,1420,1789,267,667,366,601,6,71,291,438,97,72,913,6406,554,514,46,609,17832,651,303,734,420,784,487,1432,181,1585,328,162,1348,1007,2402,415,161,235,1,2048,11645,107,1075,709,0,2082,784
0,3,578,1,333,0,307,11,5,6638,66,6,11,302,826,161,20,0,62,19,427,88,111,153,0,5,100,422,1,735,314,64,1631,93,441,28,57,222,81,0,3,14,7,27,3,130,19,233,154,1,8,451,58,0,331,98,52,17,137,38,441,97,1,79,103,44,55,9,222,0,975,10260,35,9861,66,0,249,147
0,55,366,1,27,2,56,41,5,1911,76,11,3,25,542,59,14,0,38,26,533,38,6,36,1,8,13,57,6,37,12,13,763,14,195,0,105,80,129,5,7,4,58,6,24,522,1311,47,117,2,191,111,19,0,9,29,0,6,11,122,23,77,48,10,527,97,249,41,44,0,114,8102,4,774,6,0,43,44
