A. Lange & S_hne (Richemont Group),Audemars Piguet,Ball,Baume & Mercier (Richemont Group),Bell & Ross,Benrus,Blancpain (Swatch Group),Breguet,Breitling,Bremont,Bulova,Bvlgari (LVMH),Cartier (Richemont Group),Casio,Certina (Swatch Group),Chopard,Christopher Ward,Chronoswiss,Citizen,Diesel,Doxa,Ebel (Movado),F.P. Journe,Fortis,Fossil,Fr_d_rique Constant,Girard,Glashôtte Original (Swatch Group),Gucci,Guess,Hamilton (Swatch Group),Hermes,HMT,Hublot (LVMH),Invicta,IWC (Richemont Group),Jaeger,Junghans,Longines (Swatch Group),Luminox,Marathon,MB&F,Michael Kors,Mido (Swatch Group),Mondaine,Montblanc,Movado,Nixon,Nomos Glashôtte,Omega (Swatch Group),Orient (Seiko),Oris,Panerai (Richemont Group),Patek Philippe,Piaget,Rado (Swatch Group),Raymond Weil,Richard Mille,Rolex,Rotary,Seiko,Sinn,Skagen,Stowa Stowa,Stuhrling,Suunto,Swatch,Swiss Legend (SWI),TAG Heuer (LVMH Group),Tianjin SeaGull,Timex,Tissot (Swatch Group),Tudor,Tutima,Ulysse Nardin,Vacheron Constantin (Richemont Group),Vostok,Zenith (LVMH)
23,25067,4440,280,669,1969,1335,2314,1556,2373,1604,4121,3717,1618,4159,1646,1423,684,2484,75,2088,3949,515,4028,11421,4933,2531,10970,221,392,20562,681,4349,536,5376,277,1248,70,599,960,83,263,4949,645,389,2952,919,1156,346,6939,3607,1371,279,371483,1993,10673,2544,977,818,1566,160,2523,7567,246,430,1816,885,243,4858,17,2957,30178,5597,22717,5546,8,1472,120
25,31829,8393,290,1098,2420,1344,2760,285,2397,1483,4229,3604,3752,4088,1478,1915,707,3277,81,3150,4287,810,4167,41,3868,2484,13235,257,375,17747,659,3912,387,5678,290,1479,222,660,305,89,234,4354,662,451,2536,1187,1274,368,6471,4420,1122,285,14034,1857,11018,2402,985,860,1530,99,2055,8344,337,290,2056,674,158,4646,59,3121,29549,5104,19748,6387,14,1310,435
33,46890,5337,259,682,1725,1291,3363,419,2644,1441,3752,2183,1503,4035,1535,1682,770,5003,103,3235,5304,1253,3537,94,3367,2308,7946,256,514,16996,564,3965,184,7615,260,1409,246,636,242,84,174,3969,618,549,3201,1493,1082,324,5841,5219,1569,193,15537,1865,5313,2247,911,765,1606,70,2771,5624,267,229,2135,665,115,4699,36,3315,31724,4424,20728,6973,2,1423,135
25,52183,7703,232,648,1557,1317,4355,488,2606,1187,3932,1554,958,3860,1278,1036,752,1836,84,2302,7194,1282,3648,51,3282,2364,11895,206,342,14037,455,3956,265,42210,280,1298,37,618,160,106,219,3645,517,551,1837,1693,1134,378,5190,5560,887,225,12938,1695,5165,2082,866,684,1808,57,3130,7364,272,188,2213,666,79,4388,40,3373,30800,4011,17804,6887,0,1443,90
15,58345,10050,242,329,895,1232,4569,96,3076,1127,3644,981,1066,3826,1312,1693,933,2647,71,2283,7681,1863,4088,86,3271,2030,8081,247,444,14836,802,3706,102,7724,223,1177,46,572,133,62,135,3369,554,686,3024,1640,1127,327,4950,5545,899,140,14254,1857,1508,1872,880,672,2197,50,3061,8586,233,136,2410,636,69,4633,0,3693,33163,3409,18413,5996,0,1355,76
12,35341,18,113,69,298,857,4366,48,2083,874,2255,407,472,3097,945,320,842,757,55,1559,8748,1362,1596,40,1739,1733,1182,128,317,7411,124,3648,13,5637,156,568,22,423,94,39,109,1791,310,517,904,560,854,195,3688,4421,679,26,17855,715,547,1505,528,479,1792,24,18012,289,127,98,1657,498,49,2846,0,2778,25197,2020,10616,3517,0,1013,54
19,72628,14208,315,6460,1077,2145,6831,981,4861,1973,10619,5346,4837,4891,2672,109238,1447,8692,170,4858,30860,2341,6649,199,3088,3020,37698,324,403,18942,752,4462,4161,12158,707,3397,8156,761,82098,140,596,3297,837,1641,4229,2025,2004,506,4721,7636,25229,850,19353,2248,23425,1939,6883,696,3352,55,29141,11144,866,1832,4322,899,2798,6218,5096,5234,43706,2850,19013,5455,82,2747,1097
14,29705,11988,182,329,258,1232,5540,67,3970,1095,2861,533,620,3436,1288,1440,1475,2173,113,2356,38867,1800,3683,53,2041,1799,4733,147,337,9092,458,3910,74,8203,178,950,77,491,658,26,127,2154,507,553,2478,1465,1287,284,3690,5884,771,104,32914,1576,1393,1475,841,503,1297,18,6707,6411,284,116,3252,638,74,4252,0,3334,33818,2088,13408,3279,0,1361,90
10,18416,9721,164,589,568,1301,5965,91,4620,1258,3185,623,719,3533,1360,960,1695,2227,103,2907,18147,2110,2770,60,2061,1830,11969,183,336,10182,315,4123,159,30290,180,1119,39,558,466,16,149,2016,553,484,1503,1444,1353,376,3625,5627,846,151,100715,1642,3495,1418,870,550,725,14,643564,6580,377,124,3966,664,107,4471,68,3135,34856,1753,14862,2959,0,2317,79
9,11922,7179,127,665,194,1324,5986,103,5104,1178,2675,596,627,3597,1175,1451,1756,2270,149,2584,25587,2231,3630,61,1870,1632,4053,190,360,7518,391,3479,137,7041,181,1192,56,339,218,19,189,1662,434,344,1724,968,1395,288,3298,4728,1119,288,7966,1467,3121,1340,949,433,640,6,15755,3321,423,148,4131,648,108,3994,105,3073,32026,1547,13795,2437,0,2162,116
